dataset,question_id,workflow_id,run_id,quality,cost,latency_ms,llm_calls,sparql_calls,tokens_in,tokens_out,status,prediction
toy,q1,direct,0,1.0,1.0,800,1,0,300,80,success,SELECT_A
toy,q1,execute_repair,0,1.0,2.1,1600,2,1,650,150,success,SELECT_A
toy,q1,schema_generate,0,1.0,1.3,1100,1,1,500,90,success,SELECT_A
toy,q1,schema_execute_repair,0,1.0,2.4,2100,2,2,850,180,success,SELECT_A
toy,q2,direct,0,0.0,1.0,700,1,0,280,70,empty,SELECT_B_BAD
toy,q2,execute_repair,0,1.0,2.1,1700,2,1,670,160,success,SELECT_B
toy,q2,schema_generate,0,0.0,1.3,1050,1,1,480,90,empty,SELECT_B_BAD
toy,q2,schema_execute_repair,0,1.0,2.4,2200,2,2,880,190,success,SELECT_B
toy,q3,direct,0,0.0,1.0,750,1,0,290,75,syntax_error,SELECT_C_BAD
toy,q3,execute_repair,0,0.0,2.1,1750,2,1,680,165,empty,SELECT_C_BAD
toy,q3,schema_generate,0,1.0,1.3,1000,1,1,470,85,success,SELECT_C
toy,q3,schema_execute_repair,0,1.0,2.4,2050,2,2,840,175,success,SELECT_C

